DATE;CONCEPT;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;H25
2023-01-01;PRICE_SP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.01;1.0;4.16;15.1;19.51;24.61;40.07;40.07;16.0;
2023-01-02;PRICE_SP;61.38;42.17;42.0;42.07;42.17;63.22;85.0;105.36;131.0;131.58;127.0;126.07;127.0;130.0;131.0;128.0;131.88;160.0;174.74;165.76;153.0;141.67;134.91;124.22;
2023-01-03;PRICE_SP;130.01;120.0;118.76;115.0;113.63;116.27;138.92;155.59;169.17;171.18;154.9;146.71;133.33;130.0;126.0;120.0;135.56;156.3;169.01;160.99;152.1;149.92;132.53;115.0;
2023-01-04;PRICE_SP;119.99;100.0;90.23;84.2;80.23;87.31;109.0;105.1;134.16;129.3;120.7;96.77;105.03;106.0;105.07;103.9;107.98;129.82;167.29;160.6;151.55;140.61;126.58;104.75;
2023-01-05;PRICE_SP;95.05;79.21;68.07;64.27;61.97;65.1;95.05;108.23;135.0;123.27;104.97;113.53;100.82;96.44;93.9;91.16;94.43;118.9;163.2;177.98;163.99;152.0;135.0;118.9;
2023-01-06;PRICE_SP;107.21;101.1;96.73;81.37;75.75;81.0;97.45;107.82;122.8;125.0;120.7;110.05;103.36;90.23;80.23;70.0;80.43;121.2;128.47;137.73;137.73;132.0;99.9;91.1;
2023-01-07;PRICE_SP;53.42;40.3;25.5;24.8;20.0;14.85;14.85;14.0;18.28;20.2;18.28;14.0;10.35;8.0;5.46;4.16;8.0;24.61;40.0;43.45;50.0;43.45;30.0;24.61;
2023-01-08;PRICE_SP;7.0;5.0;4.2;4.16;4.16;4.16;4.16;4.16;4.16;5.0;5.1;5.05;4.9;5.0;4.6;4.2;4.6;7.1;17.8;24.61;40.0;40.0;21.94;15.7;
2023-01-09;PRICE_SP;5.1;4.2;4.2;4.2;4.6;5.5;24.61;80.0;118.0;121.16;119.58;115.0;106.0;91.84;81.28;72.32;99.1;130.26;161.5;171.62;161.21;139.16;132.0;106.34;
2023-01-10;PRICE_SP;105.98;96.79;95.31;90.19;93.0;98.0;117.67;132.67;141.84;141.44;125.3;101.0;97.6;95.5;92.6;92.0;98.0;133.28;144.74;141.07;124.84;109.65;92.8;64.3;
2023-01-11;PRICE_SP;35.0;8.0;4.16;4.16;4.16;5.53;64.37;99.99;139.02;138.67;130.0;107.35;95.96;84.77;66.02;62.87;85.15;130.0;134.95;131.96;136.65;135.07;115.16;93.08;
2023-01-12;PRICE_SP;69.5;56.6;56.0;56.0;55.7;56.6;91.12;118.91;122.1;120.0;102.84;98.6;85.67;81.59;70.34;70.76;94.18;120.63;132.89;141.43;142.22;114.74;104.79;61.32;
2023-01-13;PRICE_SP;59.83;44.2;39.05;39.0;38.7;39.0;58.92;92.58;111.33;106.03;98.74;91.17;82.89;76.14;77.96;80.0;90.14;113.13;128.08;149.0;154.7;138.69;110.37;103.94;
2023-01-14;PRICE_SP;80.0;73.5;65.91;49.95;45.37;45.0;48.23;59.39;60.65;68.71;54.23;45.4;45.4;45.0;40.0;35.0;42.97;54.23;64.5;69.78;54.52;45.0;44.2;35.0;
2023-01-15;PRICE_SP;25.0;17.08;13.94;4.16;3.1;4.16;4.16;5.0;16.18;26.73;31.1;24.61;23.0;21.94;19.23;15.0;19.93;30.0;35.6;40.0;50.56;41.28;34.5;23.0;
2023-01-16;PRICE_SP;4.16;3.0;4.16;3.0;3.0;4.16;4.16;12.0;22.8;22.8;20.9;14.0;14.0;15.0;9.69;9.69;9.69;14.0;22.4;31.75;34.2;24.61;9.99;4.16;
2023-01-17;PRICE_SP;4.16;4.16;2.99;1.49;0.65;1.49;4.16;4.16;4.7;4.85;4.16;4.16;4.16;4.16;4.16;4.16;4.16;4.16;4.95;12.46;17.5;12.2;4.95;4.16;
2023-01-18;PRICE_SP;3.8;0.57;0.1;0.1;0.12;0.65;1.8;10.0;24.61;21.34;12.6;4.16;4.16;4.16;4.16;4.16;4.16;14.0;35.74;105.95;122.7;100.0;25.59;14.0;
2023-01-19;PRICE_SP;40.86;29.99;24.98;24.61;24.0;24.61;26.4;62.0;94.8;66.72;26.8;22.6;21.94;21.0;18.57;18.35;20.0;24.61;38.59;48.85;54.8;41.3;30.0;21.94;
2023-01-20;PRICE_SP;48.9;44.5;29.99;30.0;37.01;48.0;53.7;71.72;90.58;93.38;83.82;77.0;82.85;76.77;75.0;75.0;88.3;115.97;164.3;207.8;197.95;175.89;126.9;93.53;
2023-01-21;PRICE_SP;75.76;60.5;56.0;52.0;50.0;45.19;45.19;52.49;55.16;55.16;52.49;50.0;45.0;44.8;43.77;37.76;44.8;54.6;75.76;93.01;111.56;91.16;67.2;54.02;
2023-01-22;PRICE_SP;32.37;18.0;20.0;14.0;13.84;13.29;11.0;16.0;30.1;28.09;18.0;15.0;18.0;20.0;20.15;18.0;21.94;32.99;71.72;88.65;128.97;124.51;75.0;55.16;
2023-01-23;PRICE_SP;50.0;39.58;34.44;37.78;37.78;40.01;50.0;63.0;88.65;95.01;63.0;59.6;59.16;59.16;54.0;53.8;59.6;65.0;109.0;156.4;157.22;150.5;78.59;64.8;
2023-01-24;PRICE_SP;63.0;51.9;48.62;47.85;49.67;51.9;60.3;80.03;95.0;88.02;65.0;63.16;64.0;64.02;64.0;64.0;64.02;94.0;138.17;220.0;218.08;156.0;103.01;85.0;
2023-01-25;PRICE_SP;100.0;84.87;70.0;66.81;66.81;70.01;79.01;99.76;132.96;106.01;87.38;66.81;65.33;65.0;64.99;64.8;64.8;91.16;118.47;210.34;192.28;117.01;88.65;64.8;
2023-01-26;PRICE_SP;70.78;60.6;59.16;59.0;55.0;59.16;59.16;69.99;94.87;83.0;66.81;59.6;59.0;56.1;53.4;53.1;59.16;73.01;77.92;99.54;99.76;80.0;59.16;50.27;
2023-01-27;PRICE_SP;48.8;48.0;35.69;33.27;30.0;35.69;45.28;49.69;68.37;57.62;47.0;30.0;21.2;20.0;15.0;18.0;26.74;48.02;52.43;78.0;82.01;78.0;74.89;52.43;
2023-01-28;PRICE_SP;40.0;36.69;36.69;36.27;35.94;35.2;36.27;37.6;42.74;39.5;34.8;29.56;24.47;20.73;18.0;15.0;22.4;35.0;63.09;70.23;74.89;74.89;70.99;63.09;
2023-01-29;PRICE_SP;52.34;40.0;38.9;38.45;38.05;38.05;38.7;39.1;39.5;39.5;38.05;36.45;37.99;39.5;40.32;39.5;43.94;90.0;122.59;178.58;172.51;162.32;130.62;106.83;
2023-01-30;PRICE_SP;117.05;119.6;118.73;110.33;90.0;118.42;119.6;145.6;176.48;154.63;127.65;125.36;123.2;121.32;119.6;118.48;121.32;129.4;167.45;220.0;187.84;172.85;130.99;113.0;
2023-01-31;PRICE_SP;125.28;108.45;99.0;108.45;110.0;110.0;110.0;139.66;167.45;140.88;115.0;105.19;110.0;109.99;108.97;108.98;108.98;125.75;147.01;187.36;176.48;164.42;137.66;124.8;
