DATE;CONCEPT;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;H25
2024-01-01;PRICE_SP;63.33;50.09;47.5;43.5;42.5;42.09;42.5;42.59;43.37;42.29;25.0;3.9;3.2;2.06;1.73;5.72;18.49;37.0;47.5;54.97;60.9;60.0;47.5;42.09;
2024-01-02;PRICE_SP;37.8;25.0;3.99;14.0;10.0;14.54;36.29;44.7;53.78;54.23;50.0;52.2;45.0;43.0;43.0;40.99;43.66;52.2;57.77;62.45;58.0;52.83;46.26;40.1;
2024-01-03;PRICE_SP;6.8;3.2;3.2;3.2;3.2;2.21;4.78;45.42;61.92;67.0;63.6;57.1;55.0;55.42;61.0;66.03;67.52;89.57;94.2;104.35;113.26;113.26;94.2;86.58;
2024-01-04;PRICE_SP;90.39;87.0;80.21;70.1;66.86;68.14;86.74;94.51;96.0;98.13;95.0;90.35;89.0;85.96;92.11;98.62;99.5;100.0;102.57;104.0;105.18;102.42;99.41;90.39;
2024-01-05;PRICE_SP;86.08;80.51;77.01;70.67;61.1;68.26;75.0;86.39;90.88;90.0;76.47;57.68;45.87;44.07;40.0;30.55;44.37;67.0;75.47;78.19;79.94;78.26;75.0;68.0;
2024-01-06;PRICE_SP;52.5;45.0;44.2;43.5;23.99;23.99;30.51;44.4;45.8;45.0;25.0;4.0;3.2;3.2;3.2;3.2;25.0;65.0;85.96;92.05;92.14;88.0;86.57;79.87;
2024-01-07;PRICE_SP;84.08;79.82;76.76;73.46;71.86;72.08;74.9;77.69;81.79;84.86;61.0;55.87;50.6;51.77;49.98;45.57;60.0;92.05;104.85;103.55;100.5;95.89;91.17;83.86;
2024-01-08;PRICE_SP;86.97;84.18;81.53;78.79;78.43;82.1;94.3;111.07;120.4;116.98;110.57;103.0;95.46;93.88;100.0;107.98;115.27;125.17;129.99;130.0;133.28;129.47;115.42;107.98;
2024-01-09;PRICE_SP;98.92;100.0;98.43;98.62;97.15;97.53;102.79;108.28;122.55;120.75;110.32;107.67;107.01;106.48;107.07;114.75;124.29;137.35;137.0;138.95;148.01;130.0;111.86;106.11;
2024-01-10;PRICE_SP;92.33;90.12;87.01;85.8;85.0;86.3;95.0;103.94;121.4;121.4;105.38;102.97;99.99;98.5;94.76;94.73;99.37;102.7;111.29;121.4;120.0;107.71;101.32;92.68;
2024-01-11;PRICE_SP;91.75;86.18;82.1;80.0;79.6;81.1;85.91;102.05;113.84;110.0;97.63;86.18;83.89;82.18;83.0;85.0;97.63;118.5;128.93;132.31;117.93;108.33;100.0;93.26;
2024-01-12;PRICE_SP;88.98;86.45;84.99;83.0;83.14;85.0;89.0;102.77;113.28;105.0;100.0;94.58;92.0;91.78;90.1;92.01;100.98;107.1;126.0;119.47;110.0;102.26;98.0;95.49;
2024-01-13;PRICE_SP;90.0;87.48;82.0;78.47;75.0;75.0;78.3;85.59;92.71;94.83;90.93;83.39;73.96;71.45;74.51;80.4;91.23;99.3;107.99;103.14;100.0;97.61;93.12;90.0;
2024-01-14;PRICE_SP;86.1;82.78;78.66;72.53;69.34;69.13;69.71;72.95;77.9;79.45;74.69;69.0;67.8;65.4;63.1;62.3;65.13;72.84;86.18;92.01;86.03;84.49;82.97;72.52;
2024-01-15;PRICE_SP;77.7;67.0;64.99;62.04;62.1;65.1;69.13;86.74;99.52;100.33;94.92;90.3;85.7;82.41;84.99;90.1;95.82;100.0;112.85;113.9;107.58;100.0;97.21;91.0;
2024-01-16;PRICE_SP;86.59;83.33;80.94;78.65;78.35;80.37;89.0;101.0;127.07;120.18;99.28;91.69;93.0;89.42;90.0;88.0;84.88;88.0;89.02;99.49;99.78;88.75;75.99;60.0;
2024-01-17;PRICE_SP;19.13;15.93;6.0;4.9;4.9;5.0;16.7;44.2;45.5;45.5;44.8;34.52;17.29;12.99;5.1;5.0;18.38;43.5;45.4;49.1;54.88;46.8;43.37;18.03;
2024-01-18;PRICE_SP;3.2;3.2;1.68;0.43;0.99;3.2;3.2;30.1;47.19;55.77;45.27;43.66;39.19;35.0;35.3;45.4;62.17;96.02;103.71;99.6;105.34;98.84;92.14;73.61;
2024-01-19;PRICE_SP;71.82;67.44;67.17;60.0;54.79;50.0;60.0;74.4;82.32;87.33;81.0;78.0;78.74;70.83;61.13;60.14;63.0;69.18;80.5;84.2;82.88;80.5;74.4;61.0;
2024-01-20;PRICE_SP;73.75;63.92;63.81;63.81;63.68;66.1;70.3;75.93;84.09;88.31;82.85;76.64;74.65;69.84;73.41;79.21;87.97;95.07;99.94;99.58;99.94;99.58;94.46;85.78;
2024-01-21;PRICE_SP;69.07;59.11;58.2;57.57;57.5;57.5;57.5;59.0;60.1;59.0;58.64;56.8;56.36;47.42;52.67;53.75;56.89;64.89;83.98;93.52;95.62;94.52;76.83;59.2;
2024-01-22;PRICE_SP;47.0;41.8;35.0;25.0;28.1;40.0;49.01;75.0;92.69;86.66;71.08;61.99;57.67;58.48;59.87;59.99;66.07;79.09;98.18;104.91;119.0;103.21;94.27;75.93;
2024-01-23;PRICE_SP;61.1;59.0;58.5;59.87;58.5;58.5;65.55;90.1;97.5;91.86;81.0;66.65;61.91;61.03;62.01;64.0;66.62;84.0;96.98;115.0;129.01;106.76;92.5;84.51;
2024-01-24;PRICE_SP;86.0;78.93;73.73;71.69;70.94;71.69;80.19;93.18;101.5;89.02;70.69;61.8;59.87;58.2;58.2;60.5;64.0;88.61;94.94;150.41;152.17;103.0;88.04;74.86;
2024-01-25;PRICE_SP;64.97;60.53;60.0;55.36;57.26;63.29;72.45;83.5;95.53;89.84;74.71;65.01;64.97;64.97;65.0;61.85;67.67;75.59;94.72;113.0;135.36;103.01;80.95;73.58;
2024-01-26;PRICE_SP;63.37;65.0;63.86;63.86;62.48;63.86;69.57;80.02;115.0;77.3;66.19;62.39;55.78;50.7;53.61;55.52;63.38;73.74;89.62;96.8;111.07;93.0;74.98;70.45;
2024-01-27;PRICE_SP;64.97;61.06;59.05;55.9;55.9;57.22;59.36;66.19;78.09;73.4;62.01;54.4;47.0;47.7;47.5;47.0;55.2;74.43;95.97;92.51;92.53;89.5;75.97;72.7;
2024-01-28;PRICE_SP;62.03;58.2;52.9;47.21;44.0;43.2;47.05;51.4;55.29;55.1;42.0;37.0;42.0;39.93;40.09;38.03;43.12;60.8;71.14;71.55;69.87;63.11;60.34;56.0;
2024-01-29;PRICE_SP;49.97;47.26;48.12;47.97;51.58;60.06;80.66;88.7;99.26;88.39;78.9;71.27;70.24;73.81;78.03;78.78;82.87;89.86;110.0;107.52;108.5;92.18;87.0;80.29;
2024-01-30;PRICE_SP;71.94;68.64;69.37;65.1;64.0;69.37;79.02;91.04;95.95;88.7;77.15;70.1;68.1;68.23;71.93;71.95;78.89;88.83;99.76;107.0;123.22;95.06;88.7;78.78;
2024-01-31;PRICE_SP;74.09;71.48;70.89;69.82;69.25;74.01;84.44;93.29;120.23;93.23;82.98;72.19;70.01;66.5;65.8;64.95;66.26;77.0;91.0;119.47;168.35;94.54;85.0;77.52;
2024-02-01;PRICE_SP;69.0;60.44;55.1;54.6;53.47;59.82;72.42;88.76;95.76;88.77;62.8;55.98;54.44;54.0;54.44;54.6;60.44;76.0;101.89;99.05;94.0;83.66;82.13;71.19;
