id;name;value;datetime
1171;Generación medida Residuos varios;38.961;2024-01-01 00:00:00+01:00
1164;Generación medida Gas Natural Cogeneración;1185.612;2024-01-01 00:00:00+01:00
1167;Generación medida Energía residual;0.709;2024-01-01 00:00:00+01:00
1151;Generación medida Hidráulica no UGH;768.536;2024-01-01 00:00:00+01:00
1165;Generación medida Derivados del petróleo ó carbón;3.727;2024-01-01 00:00:00+01:00
1150;Generación medida Hidráulica UGH;2404.075;2024-01-01 00:00:00+01:00
1161;Generación medida Solar fotovoltaica;1.073;2024-01-01 00:00:00+01:00
1154;Generación medida Hulla antracita;281.327;2024-01-01 00:00:00+01:00
1156;Generación medida Ciclo combinado;3236.317;2024-01-01 00:00:00+01:00
1155;Generación medida Hulla sub-bituminosa;-3.371;2024-01-01 00:00:00+01:00
1153;Generación medida Nuclear;7131.05;2024-01-01 00:00:00+01:00
1168;Generación medida Biomasa;208.342;2024-01-01 00:00:00+01:00
1163;Generación medida Océano y geotérmica;0.096;2024-01-01 00:00:00+01:00
1169;Generación medida Biogás;79.957;2024-01-01 00:00:00+01:00
1170;Generación medida Residuos domésticos y similares;179.175;2024-01-01 00:00:00+01:00
1159;Generación medida Eólica terrestre;5445.636;2024-01-01 00:00:00+01:00
10195;Generación medida total tipo producción;22039.031;2024-01-01 00:00:00+01:00
1170;Generación medida Residuos domésticos y similares;179.457;2024-01-01 01:00:00+01:00
1171;Generación medida Residuos varios;37.104;2024-01-01 01:00:00+01:00
10195;Generación medida total tipo producción;21609.945;2024-01-01 01:00:00+01:00
1167;Generación medida Energía residual;0.76;2024-01-01 01:00:00+01:00
1151;Generación medida Hidráulica no UGH;735.523;2024-01-01 01:00:00+01:00
1163;Generación medida Océano y geotérmica;0.101;2024-01-01 01:00:00+01:00
1154;Generación medida Hulla antracita;273.308;2024-01-01 01:00:00+01:00
1161;Generación medida Solar fotovoltaica;0.133;2024-01-01 01:00:00+01:00
1169;Generación medida Biogás;78.082;2024-01-01 01:00:00+01:00
1156;Generación medida Ciclo combinado;3160.973;2024-01-01 01:00:00+01:00
1165;Generación medida Derivados del petróleo ó carbón;4.083;2024-01-01 01:00:00+01:00
1164;Generación medida Gas Natural Cogeneración;1177.815;2024-01-01 01:00:00+01:00
1159;Generación medida Eólica terrestre;5543.696;2024-01-01 01:00:00+01:00
1150;Generación medida Hidráulica UGH;2263.574;2024-01-01 01:00:00+01:00
1155;Generación medida Hulla sub-bituminosa;-3.325;2024-01-01 01:00:00+01:00
1153;Generación medida Nuclear;7131.279;2024-01-01 01:00:00+01:00
1168;Generación medida Biomasa;189.813;2024-01-01 01:00:00+01:00
1155;Generación medida Hulla sub-bituminosa;-3.318;2024-01-01 02:00:00+01:00
1154;Generación medida Hulla antracita;272.968;2024-01-01 02:00:00+01:00
1159;Generación medida Eólica terrestre;5328.128;2024-01-01 02:00:00+01:00
1161;Generación medida Solar fotovoltaica;1.139;2024-01-01 02:00:00+01:00
1169;Generación medida Biogás;76.836;2024-01-01 02:00:00+01:00
1156;Generación medida Ciclo combinado;3289.219;2024-01-01 02:00:00+01:00
1153;Generación medida Nuclear;7133.908;2024-01-01 02:00:00+01:00
1151;Generación medida Hidráulica no UGH;725.494;2024-01-01 02:00:00+01:00
1171;Generación medida Residuos varios;37.05;2024-01-01 02:00:00+01:00
1165;Generación medida Derivados del petróleo ó carbón;3.587;2024-01-01 02:00:00+01:00
1167;Generación medida Energía residual;0.668;2024-01-01 02:00:00+01:00
1164;Generación medida Gas Natural Cogeneración;1184.926;2024-01-01 02:00:00+01:00
1163;Generación medida Océano y geotérmica;0.106;2024-01-01 02:00:00+01:00
1170;Generación medida Residuos domésticos y similares;177.204;2024-01-01 02:00:00+01:00
1168;Generación medida Biomasa;180.777;2024-01-01 02:00:00+01:00
1150;Generación medida Hidráulica UGH;1940.388;2024-01-01 02:00:00+01:00
10195;Generación medida total tipo producción;21503.381;2024-01-01 02:00:00+01:00
1156;Generación medida Ciclo combinado;3315.004;2024-01-01 03:00:00+01:00
1171;Generación medida Residuos varios;37.574;2024-01-01 03:00:00+01:00
1154;Generación medida Hulla antracita;273.028;2024-01-01 03:00:00+01:00
1150;Generación medida Hidráulica UGH;1462.226;2024-01-01 03:00:00+01:00
1161;Generación medida Solar fotovoltaica;1.131;2024-01-01 03:00:00+01:00
1155;Generación medida Hulla sub-bituminosa;-3.32;2024-01-01 03:00:00+01:00
1169;Generación medida Biogás;76.81;2024-01-01 03:00:00+01:00
1159;Generación medida Eólica terrestre;5113.796;2024-01-01 03:00:00+01:00
1164;Generación medida Gas Natural Cogeneración;1186.22;2024-01-01 03:00:00+01:00
1151;Generación medida Hidráulica no UGH;704.443;2024-01-01 03:00:00+01:00
1153;Generación medida Nuclear;7133.123;2024-01-01 03:00:00+01:00
1170;Generación medida Residuos domésticos y similares;173.947;2024-01-01 03:00:00+01:00
1163;Generación medida Océano y geotérmica;0.098;2024-01-01 03:00:00+01:00
1165;Generación medida Derivados del petróleo ó carbón;3.12;2024-01-01 03:00:00+01:00
10195;Generación medida total tipo producción;20625.977;2024-01-01 03:00:00+01:00
