iter	Passed	Remaining
0	76	153090
1	155	155529
2	233	155618
3	343	171320
4	432	172640
5	510	169594
6	588	167654
7	668	166489
8	743	164469
9	820	163369
10	895	161865
11	978	162089
12	1069	163502
13	1141	161932
14	1223	161910
15	1302	161458
16	1391	162296
17	1585	174562
18	1673	174453
19	1747	173024
20	1828	172337
21	1920	172711
22	1997	171715
23	2074	170837
24	2151	169971
25	2220	168575
26	2298	167974
27	2389	168277
28	2461	167283
29	2537	166629
30	2612	165962
31	2690	165484
32	2770	165167
33	2841	164328
34	2924	164205
35	3001	163752
36	3075	163152
37	3147	162522
38	3242	163042
39	3323	162843
40	3395	162242
41	3474	161965
42	3559	161994
43	3641	161898
44	3708	161111
45	3791	161065
46	3868	160728
47	3938	160173
48	4012	159750
49	4102	159989
50	4170	159376
51	4244	159010
52	4319	158697
53	4394	158378
54	4475	158264
55	4549	157947
56	4631	157874
57	4722	158120
58	4800	157938
59	4876	157680
60	4951	157401
61	5021	156948
62	5109	157102
63	5181	156736
64	5263	156694
65	5358	157034
66	5434	156785
67	5508	156492
68	5586	156330
69	5666	156233
70	5732	155755
71	5803	155411
72	5879	155195
73	5979	155635
74	6056	155441
75	6132	155243
76	6199	154838
77	6281	154793
78	6368	154864
79	6438	154512
80	6509	154226
81	6585	154032
82	6662	153869
83	6737	153669
84	6820	153653
85	6911	153815
86	6991	153740
87	7084	153935
88	7163	153818
89	7236	153578
90	7309	153340
91	7391	153285
92	7463	153047
93	7542	152937
94	7629	152981
95	7701	152741
96	7785	152745
97	7873	152803
98	7951	152676
99	8023	152444
100	8107	152441
101	8171	152059
102	8292	152726
103	8369	152588
104	8447	152458
105	8514	152134
106	8596	152077
107	8680	152068
108	8753	151862
109	8835	151804
110	8910	151642
111	8991	151577
112	9171	153155
113	9253	153089
114	9331	152955
115	9426	153092
116	9500	152898
117	9584	152866
118	9664	152765
119	9738	152567
120	9824	152569
121	9920	152712
122	9993	152502
123	10074	152413
124	10148	152221
125	10216	151943
126	10297	151874
127	10381	151835
128	10456	151665
129	10539	151601
130	10613	151425
131	10700	151429
132	10786	151419
133	10859	151218
134	10948	151248
135	11021	151064
136	11101	150957
137	11176	150804
138	11255	150691
139	11332	150561
140	11409	150424
141	11499	150461
142	11577	150339
143	11652	150191
144	11736	150146
145	11828	150204
146	11903	150046
147	11983	149955
148	12052	149719
149	12139	149725
150	12218	149618
151	12292	149456
152	12361	149229
153	12433	149043
154	12507	148881
155	12584	148755
156	12662	148639
157	12744	148583
158	12817	148406
159	12894	148285
160	12978	148249
161	13056	148137
162	13141	148101
163	13211	147909
164	13286	147757
165	13362	147633
166	13439	147512
167	13521	147452
168	13605	147403
169	13681	147276
170	13761	147187
171	13843	147129
172	13921	147018
173	14001	146936
174	14077	146805
175	14148	146629
176	14229	146559
177	14305	146426
178	14379	146289
179	14477	146386
180	14549	146222
181	14622	146066
182	14701	145966
183	14777	145847
184	14869	145882
185	14948	145791
186	15017	145593
187	15102	145563
188	15168	145345
189	15234	145129
190	15305	144958
191	15393	144954
192	15466	144809
193	15541	144683
194	15625	144634
195	15701	144517
196	15781	144435
197	15861	144357
198	15936	144224
199	16004	144044
200	16091	144022
201	16186	144071
202	16263	143967
203	16331	143784
204	16403	143626
205	16480	143524
