value,datetime,datetime_utc,tz_time,geo_id,geo_name
122.06,2022-01-01T10:00:00.000+01:00,2022-01-01T09:00:00Z,2022-01-01T09:00:00.000Z,8743,Baleares
122.06,2022-01-01T10:00:00.000+01:00,2022-01-01T09:00:00Z,2022-01-01T09:00:00.000Z,8741,Península
122.06,2022-01-01T10:00:00.000+01:00,2022-01-01T09:00:00Z,2022-01-01T09:00:00.000Z,8744,Ceuta
122.06,2022-01-01T10:00:00.000+01:00,2022-01-01T09:00:00Z,2022-01-01T09:00:00.000Z,8742,Canarias
122.06,2022-01-01T10:00:00.000+01:00,2022-01-01T09:00:00Z,2022-01-01T09:00:00.000Z,8745,Melilla
127.97,2022-01-01T11:00:00.000+01:00,2022-01-01T10:00:00Z,2022-01-01T10:00:00.000Z,8741,Península
127.97,2022-01-01T11:00:00.000+01:00,2022-01-01T10:00:00Z,2022-01-01T10:00:00.000Z,8745,Melilla
127.97,2022-01-01T11:00:00.000+01:00,2022-01-01T10:00:00Z,2022-01-01T10:00:00.000Z,8744,Ceuta
127.97,2022-01-01T11:00:00.000+01:00,2022-01-01T10:00:00Z,2022-01-01T10:00:00.000Z,8742,Canarias
127.97,2022-01-01T11:00:00.000+01:00,2022-01-01T10:00:00Z,2022-01-01T10:00:00.000Z,8743,Baleares
139.9,2022-01-01T12:00:00.000+01:00,2022-01-01T11:00:00Z,2022-01-01T11:00:00.000Z,8742,Canarias
139.9,2022-01-01T12:00:00.000+01:00,2022-01-01T11:00:00Z,2022-01-01T11:00:00.000Z,8743,Baleares
139.9,2022-01-01T12:00:00.000+01:00,2022-01-01T11:00:00Z,2022-01-01T11:00:00.000Z,8745,Melilla
139.9,2022-01-01T12:00:00.000+01:00,2022-01-01T11:00:00Z,2022-01-01T11:00:00.000Z,8741,Península
139.9,2022-01-01T12:00:00.000+01:00,2022-01-01T11:00:00Z,2022-01-01T11:00:00.000Z,8744,Ceuta
141.95,2022-01-01T13:00:00.000+01:00,2022-01-01T12:00:00Z,2022-01-01T12:00:00.000Z,8741,Península
