datetime,Precio_Real,Prediccion_ARMA,Diferencia_ARMA,hour,month
2024-01-01 00:00:00,63.33,71.6365934272996,-8.306593427299603,0,1
2024-01-01 01:00:00,50.09,72.09676983215678,-22.006769832156778,1,1
2024-01-01 02:00:00,47.5,72.8286547171202,-25.3286547171202,2,1
2024-01-01 03:00:00,43.5,73.64316348745503,-30.143163487455027,3,1
2024-01-01 04:00:00,42.5,74.47080835719004,-31.970808357190037,4,1
2024-01-01 05:00:00,42.09,75.28640178257425,-33.19640178257424,5,1
2024-01-01 06:00:00,42.5,76.08115444354414,-33.581154443544136,6,1
2024-01-01 07:00:00,42.59,76.85233618564268,-34.26233618564268,7,1
2024-01-01 08:00:00,43.37,77.59944524284101,-34.22944524284102,8,1
2024-01-01 09:00:00,42.29,78.3227892134263,-36.032789213426305,9,1
2024-01-01 10:00:00,25.0,79.02295974076152,-54.02295974076152,10,1
2024-01-01 11:00:00,3.9,79.70063835693365,-75.80063835693365,11,1
2024-01-01 12:00:00,3.2,80.35652502886616,-77.15652502886616,12,1
2024-01-01 13:00:00,2.06,80.99131215832384,-78.93131215832383,13,1
2024-01-01 14:00:00,1.73,81.60567541034789,-79.87567541034788,14,1
2024-01-01 15:00:00,5.72,82.20027076289013,-76.48027076289013,15,1
2024-01-01 16:00:00,18.49,82.77573384740822,-64.28573384740822,16,1
2024-01-01 17:00:00,37.0,83.33268012445934,-46.332680124459344,17,1
2024-01-01 18:00:00,47.5,83.87170535520607,-36.371705355206075,18,1
2024-01-01 19:00:00,54.97,84.39338616950033,-29.423386169500333,19,1
2024-01-01 20:00:00,60.9,84.89828065709884,-23.99828065709884,20,1
2024-01-01 21:00:00,60.0,85.38692895520059,-25.386928955200588,21,1
2024-01-01 22:00:00,47.5,85.85985382276552,-38.359853822765515,22,1
2024-01-01 23:00:00,42.09,86.3175611984604,-44.22756119846039,23,1
2024-01-02 00:00:00,37.8,86.76054074143235,-48.960540741432354,0,1
2024-01-02 01:00:00,25.0,87.1892663549711,-62.189266354971096,1,1
2024-01-02 02:00:00,3.99,87.6041966934283,-83.61419669342831,2,1
2024-01-02 03:00:00,14.0,88.0057756528654,-74.0057756528654,3,1
2024-01-02 04:00:00,10.0,88.39443284592824,-78.39443284592824,4,1
2024-01-02 05:00:00,14.54,88.77058406144708,-74.23058406144708,5,1
2024-01-02 06:00:00,36.29,89.13463170924987,-52.844631709249875,6,1
2024-01-02 07:00:00,44.7,89.4869652506632,-44.7869652506632,7,1
2024-01-02 08:00:00,53.78,89.82796161516133,-36.04796161516133,8,1
2024-01-02 09:00:00,54.23,90.15798560360844,-35.92798560360844,9,1
2024-01-02 10:00:00,50.0,90.47739027852586,-40.47739027852586,10,1
2024-01-02 11:00:00,52.2,90.78651734180127,-38.58651734180127,11,1
2024-01-02 12:00:00,45.0,91.08569750024446,-46.085697500244464,12,1
2024-01-02 13:00:00,43.0,91.37525081938021,-48.37525081938021,13,1
2024-01-02 14:00:00,43.0,91.65548706585729,-48.65548706585729,14,1
2024-01-02 15:00:00,40.99,91.92670603883938,-50.93670603883938,15,1
2024-01-02 16:00:00,43.66,92.18919789073293,-48.52919789073293,16,1
2024-01-02 17:00:00,52.2,92.44324343759463,-40.24324343759463,17,1
2024-01-02 18:00:00,57.77,92.68911445955091,-34.919114459550904,18,1
2024-01-02 19:00:00,62.45,92.92707399155063,-30.477073991550625,19,1
2024-01-02 20:00:00,58.0,93.15737660476216,-35.15737660476216,20,1
2024-01-02 21:00:00,52.83,93.38026867891588,-40.550268678915884,21,1
2024-01-02 22:00:00,46.26,93.59598866588327,-47.33598866588327,22,1
