Modelo,MAE (€/MWh),RMSE (€/MWh),R²,MAPE (%),wAPE (%),sMAPE (%),MedAE (€/MWh),Moda Error (€/MWh)
LightGBM,18.687,24.404,0.718,6.273152980818614e+17,29.64,58.61,14.637,7
XGBoost,20.09,24.702,0.711,6.079146683915363e+17,31.86,60.54,17.565,11
CatBoost,24.747,29.26,0.594,6.566568310185558e+17,39.25,66.23,23.633,26
