Modelo,MAE (€/MWh),RMSE (€/MWh),R²,MAPE (%),wAPE (%),sMAPE (%),MedAE (€/MWh),Moda Error (€/MWh)
LightGBM,16.871,23.389,0.741,3.767067301031567e+17,26.76,56.9,11.842,3
XGBoost,16.955,23.429,0.74,4.0982744280084717e+17,26.89,56.77,11.856,2
CatBoost,16.899,23.388,0.741,4.162686575544858e+17,26.8,56.39,11.75,3
