id;value;datetime
1293;20.993.833;2020-01-06T06:00:00+01:00
1293;21.898.667;2020-01-06T07:00:00+01:00
1293;22.355.667;2020-01-06T08:00:00+01:00
1293;24.081.167;2020-01-06T09:00:00+01:00
1293;26.001.167;2020-01-06T10:00:00+01:00
1293;26.851.167;2020-01-06T11:00:00+01:00
1293;26633.5;2020-01-06T12:00:00+01:00
1293;26.659.333;2020-01-06T13:00:00+01:00
1293;26.280.333;2020-01-06T14:00:00+01:00
1293;25008.5;2020-01-06T15:00:00+01:00
1293;24527.5;2020-01-06T16:00:00+01:00
1293;24.927.833;2020-01-06T17:00:00+01:00
1293;27093;2020-01-06T18:00:00+01:00
1293;28.780.333;2020-01-06T19:00:00+01:00
1293;29.724.833;2020-01-06T20:00:00+01:00
1293;30.217.333;2020-01-06T21:00:00+01:00
1293;29.561.833;2020-01-06T22:00:00+01:00
1293;27341;2020-01-06T23:00:00+01:00
1293;25.078.167;2020-01-07T00:00:00+01:00
1293;23.017.167;2020-01-07T01:00:00+01:00
1293;21.816.833;2020-01-07T02:00:00+01:00
1293;21424.5;2020-01-07T03:00:00+01:00
1293;21406;2020-01-07T04:00:00+01:00
1293;22222;2020-01-07T05:00:00+01:00
1293;25.175.833;2020-01-07T06:00:00+01:00
1293;29.641.167;2020-01-07T07:00:00+01:00
1293;33.217.667;2020-01-07T08:00:00+01:00
1293;35.442.667;2020-01-07T09:00:00+01:00
1293;36574.5;2020-01-07T10:00:00+01:00
1293;36673;2020-01-07T11:00:00+01:00
1293;36.230.167;2020-01-07T12:00:00+01:00
1293;36.100.333;2020-01-07T13:00:00+01:00
1293;35.081.333;2020-01-07T14:00:00+01:00
1293;34005.5;2020-01-07T15:00:00+01:00
1293;33650;2020-01-07T16:00:00+01:00
1293;33.726.333;2020-01-07T17:00:00+01:00
1293;35508.5;2020-01-07T18:00:00+01:00
1293;36.792.333;2020-01-07T19:00:00+01:00
1293;37.383.333;2020-01-07T20:00:00+01:00
1293;36891;2020-01-07T21:00:00+01:00
1293;33.937.833;2020-01-07T22:00:00+01:00
1293;30.403.167;2020-01-07T23:00:00+01:00
1293;27.750.667;2020-01-08T00:00:00+01:00
1293;25.738.667;2020-01-08T01:00:00+01:00
1293;24.445.333;2020-01-08T02:00:00+01:00
1293;23.796.167;2020-01-08T03:00:00+01:00
1293;23744.5;2020-01-08T04:00:00+01:00
1293;24.416.833;2020-01-08T05:00:00+01:00
1293;27.034.667;2020-01-08T06:00:00+01:00
1293;31945;2020-01-08T07:00:00+01:00
1293;35725;2020-01-08T08:00:00+01:00
1293;36.728.167;2020-01-08T09:00:00+01:00
1293;37.442.167;2020-01-08T10:00:00+01:00
1293;37.268.167;2020-01-08T11:00:00+01:00
1293;36.540.167;2020-01-08T12:00:00+01:00
1293;36.396.167;2020-01-08T13:00:00+01:00
1293;35195;2020-01-08T14:00:00+01:00
1293;34.337.667;2020-01-08T15:00:00+01:00
1293;34.118.167;2020-01-08T16:00:00+01:00
1293;34.221.833;2020-01-08T17:00:00+01:00
1293;36.058.167;2020-01-08T18:00:00+01:00
1293;37.378.333;2020-01-08T19:00:00+01:00
1293;37.974.833;2020-01-08T20:00:00+01:00
1293;37213;2020-01-08T21:00:00+01:00
1293;34305.5;2020-01-08T22:00:00+01:00
1293;30.725.833;2020-01-08T23:00:00+01:00
1293;27.969.833;2020-01-09T00:00:00+01:00
1293;25.876.833;2020-01-09T01:00:00+01:00
1293;24644;2020-01-09T02:00:00+01:00
1293;24136;2020-01-09T03:00:00+01:00
1293;24.006.667;2020-01-09T04:00:00+01:00
1293;24.705.333;2020-01-09T05:00:00+01:00
1293;27.425.667;2020-01-09T06:00:00+01:00
1293;32.366.833;2020-01-09T07:00:00+01:00
1293;35.837.833;2020-01-09T08:00:00+01:00
1293;36958.5;2020-01-09T09:00:00+01:00
1293;37342;2020-01-09T10:00:00+01:00
1293;37.039.333;2020-01-09T11:00:00+01:00
1293;36.448.833;2020-01-09T12:00:00+01:00
1293;36.287.167;2020-01-09T13:00:00+01:00
1293;35.295.667;2020-01-09T14:00:00+01:00
1293;34657.5;2020-01-09T15:00:00+01:00
1293;34.339.333;2020-01-09T16:00:00+01:00
1293;34.452.667;2020-01-09T17:00:00+01:00
1293;36.381.167;2020-01-09T18:00:00+01:00
1293;37.769.667;2020-01-09T19:00:00+01:00
1293;38.216.167;2020-01-09T20:00:00+01:00
1293;37.383.167;2020-01-09T21:00:00+01:00
1293;34577;2020-01-09T22:00:00+01:00
1293;31149;2020-01-09T23:00:00+01:00
1293;28.423.167;2020-01-10T00:00:00+01:00
1293;26116;2020-01-10T01:00:00+01:00
1293;24.820.667;2020-01-10T02:00:00+01:00
1293;24.289.667;2020-01-10T03:00:00+01:00
1293;24.131.833;2020-01-10T04:00:00+01:00
1293;24922.5;2020-01-10T05:00:00+01:00
1293;27506.5;2020-01-10T06:00:00+01:00
1293;32.205.333;2020-01-10T07:00:00+01:00
1293;35.601.333;2020-01-10T08:00:00+01:00
1293;36.707.833;2020-01-10T09:00:00+01:00
1293;37381;2020-01-10T10:00:00+01:00
1293;37.362.667;2020-01-10T11:00:00+01:00
1293;36.832.167;2020-01-10T12:00:00+01:00
1293;36617.5;2020-01-10T13:00:00+01:00
1293;35.364.167;2020-01-10T14:00:00+01:00
1293;34.508.167;2020-01-10T15:00:00+01:00
1293;34.068.667;2020-01-10T16:00:00+01:00
1293;34043;2020-01-10T17:00:00+01:00
1293;35477.5;2020-01-10T18:00:00+01:00
1293;36469.5;2020-01-10T19:00:00+01:00
1293;36.637.833;2020-01-10T20:00:00+01:00
1293;36.227.833;2020-01-10T21:00:00+01:00
1293;33922;2020-01-10T22:00:00+01:00
1293;31.145.333;2020-01-10T23:00:00+01:00
1293;28941;2020-01-11T00:00:00+01:00
1293;26.687.667;2020-01-11T01:00:00+01:00
1293;25.161.833;2020-01-11T02:00:00+01:00
1293;24.202.167;2020-01-11T03:00:00+01:00
1293;23.755.167;2020-01-11T04:00:00+01:00
1293;23.739.167;2020-01-11T05:00:00+01:00
1293;24.135.333;2020-01-11T06:00:00+01:00
1293;25758;2020-01-11T07:00:00+01:00
1293;27513;2020-01-11T08:00:00+01:00
1293;30107.5;2020-01-11T09:00:00+01:00
1293;32.339.333;2020-01-11T10:00:00+01:00
1293;32.512.833;2020-01-11T11:00:00+01:00
1293;32.145.167;2020-01-11T12:00:00+01:00
1293;31.921.167;2020-01-11T13:00:00+01:00
1293;31.422.833;2020-01-11T14:00:00+01:00
1293;30.338.833;2020-01-11T15:00:00+01:00
1293;29.385.667;2020-01-11T16:00:00+01:00
1293;29.127.167;2020-01-11T17:00:00+01:00
1293;31150;2020-01-11T18:00:00+01:00
1293;32.676.833;2020-01-11T19:00:00+01:00
1293;33291;2020-01-11T20:00:00+01:00
1293;33.381.833;2020-01-11T21:00:00+01:00
1293;32076;2020-01-11T22:00:00+01:00
1293;29.954.333;2020-01-11T23:00:00+01:00
1293;27295;2020-01-12T00:00:00+01:00
1293;25.063.667;2020-01-12T01:00:00+01:00
1293;23.474.167;2020-01-12T02:00:00+01:00
1293;22551.5;2020-01-12T03:00:00+01:00
1293;22.036.833;2020-01-12T04:00:00+01:00
1293;22169;2020-01-12T05:00:00+01:00
1293;22.532.833;2020-01-12T06:00:00+01:00
1293;23.471.667;2020-01-12T07:00:00+01:00
1293;24.473.333;2020-01-12T08:00:00+01:00
1293;26516;2020-01-12T09:00:00+01:00
1293;28.974.333;2020-01-12T10:00:00+01:00
1293;30002.5;2020-01-12T11:00:00+01:00
1293;29.949.167;2020-01-12T12:00:00+01:00
1293;30.091.333;2020-01-12T13:00:00+01:00
1293;30135;2020-01-12T14:00:00+01:00
1293;28.751.333;2020-01-12T15:00:00+01:00
1293;27.847.667;2020-01-12T16:00:00+01:00
1293;27.728.333;2020-01-12T17:00:00+01:00
1293;30.177.833;2020-01-12T18:00:00+01:00
1293;32.227.833;2020-01-12T19:00:00+01:00
1293;33.417.333;2020-01-12T20:00:00+01:00
1293;33.525.833;2020-01-12T21:00:00+01:00
1293;32.498.333;2020-01-12T22:00:00+01:00
1293;29.822.667;2020-01-12T23:00:00+01:00
1293;26970;2020-01-13T00:00:00+01:00
1293;24856.5;2020-01-13T01:00:00+01:00
1293;23.594.333;2020-01-13T02:00:00+01:00
1293;22763;2020-01-13T03:00:00+01:00
1293;22.947.167;2020-01-13T04:00:00+01:00
1293;23864.5;2020-01-13T05:00:00+01:00
1293;26.972.167;2020-01-13T06:00:00+01:00
1293;32.299.167;2020-01-13T07:00:00+01:00
1293;36.218.167;2020-01-13T08:00:00+01:00
1293;37617;2020-01-13T09:00:00+01:00
1293;38.598.667;2020-01-13T10:00:00+01:00
1293;38520.5;2020-01-13T11:00:00+01:00
1293;38041.5;2020-01-13T12:00:00+01:00
1293;37.802.833;2020-01-13T13:00:00+01:00
1293;36.538.167;2020-01-13T14:00:00+01:00
1293;35.843.333;2020-01-13T15:00:00+01:00
1293;35.590.167;2020-01-13T16:00:00+01:00
1293;35717.5;2020-01-13T17:00:00+01:00
1293;37.359.667;2020-01-13T18:00:00+01:00
1293;38.845.667;2020-01-13T19:00:00+01:00
1293;39.506.333;2020-01-13T20:00:00+01:00
1293;38590;2020-01-13T21:00:00+01:00
1293;35.433.667;2020-01-13T22:00:00+01:00
1293;31.855.667;2020-01-13T23:00:00+01:00
1293;28.980.667;2020-01-14T00:00:00+01:00
1293;26667.5;2020-01-14T01:00:00+01:00
1293;25.340.167;2020-01-14T02:00:00+01:00
1293;24.939.167;2020-01-14T03:00:00+01:00
1293;24.741.667;2020-01-14T04:00:00+01:00
1293;25.315.833;2020-01-14T05:00:00+01:00
1293;28.110.833;2020-01-14T06:00:00+01:00
1293;33353;2020-01-14T07:00:00+01:00
1293;36903.5;2020-01-14T08:00:00+01:00
1293;37908.5;2020-01-14T09:00:00+01:00
1293;38.363.667;2020-01-14T10:00:00+01:00
1293;38.116.667;2020-01-14T11:00:00+01:00
1293;37.475.333;2020-01-14T12:00:00+01:00
1293;37.097.333;2020-01-14T13:00:00+01:00
1293;35906;2020-01-14T14:00:00+01:00
1293;35335.5;2020-01-14T15:00:00+01:00
