Metrica,Valor,Unidad
MAE,38.09117072943564,€/MWh
RMSE,44.87716450819002,€/MWh
MAPE,1.2267803763593864e+18,%
R2,0.04528833485118633,
RMSE_Naive,12.8170662210086,€/MWh
