datetime,Precio_Real,Prediccion_SARIMA,Diferencia_SARIMA,hour,month
2024-01-01 00:00:00,63.33,61.28231334617874,2.047686653821259,0,1
2024-01-01 01:00:00,50.09,53.0549325522436,-2.964932552243596,1,1
2024-01-01 02:00:00,47.5,49.75551160969775,-2.2555116096977486,2,1
2024-01-01 03:00:00,43.5,44.949162602480214,-1.4491626024802144,3,1
2024-01-01 04:00:00,42.5,41.10299500929102,1.3970049907089788,4,1
2024-01-01 05:00:00,42.09,40.27090289269404,1.8190971073059643,5,1
2024-01-01 06:00:00,42.5,48.52472703446455,-6.024727034464547,6,1
2024-01-01 07:00:00,42.59,54.73658644777237,-12.146586447772364,7,1
2024-01-01 08:00:00,43.37,58.40821110261993,-15.038211102619933,8,1
2024-01-01 09:00:00,42.29,62.72197975814919,-20.43197975814919,9,1
2024-01-01 10:00:00,25.0,60.93404781540352,-35.93404781540352,10,1
2024-01-01 11:00:00,3.9,56.569553009938886,-52.66955300993889,11,1
2024-01-01 12:00:00,3.2,54.38853923553404,-51.18853923553404,12,1
2024-01-01 13:00:00,2.06,52.26405399946378,-50.20405399946378,13,1
2024-01-01 14:00:00,1.73,50.81513295191189,-49.085132951911895,14,1
2024-01-01 15:00:00,5.72,51.990488946644575,-46.270488946644576,15,1
2024-01-01 16:00:00,18.49,63.59620987401212,-45.10620987401212,16,1
2024-01-01 17:00:00,37.0,78.67232751536847,-41.672327515368465,17,1
2024-01-01 18:00:00,47.5,89.39906034207058,-41.899060342070584,18,1
2024-01-01 19:00:00,54.97,100.70364199212815,-45.733641992128156,19,1
2024-01-01 20:00:00,60.9,99.12277977637109,-38.22277977637109,20,1
2024-01-01 21:00:00,60.0,92.37307987534558,-32.37307987534558,21,1
2024-01-01 22:00:00,47.5,79.96839712082021,-32.468397120820214,22,1
2024-01-01 23:00:00,42.09,73.74707362360289,-31.657073623602884,23,1
2024-01-02 00:00:00,37.8,63.67920382183877,-25.87920382183877,0,1
2024-01-02 01:00:00,25.0,60.527396319808645,-35.527396319808645,1,1
2024-01-02 02:00:00,3.99,58.37262123505121,-54.38262123505121,2,1
2024-01-02 03:00:00,14.0,53.725308618199506,-39.725308618199506,3,1
2024-01-02 04:00:00,10.0,47.26968505043544,-37.26968505043544,4,1
2024-01-02 05:00:00,14.54,45.442651557263844,-30.902651557263844,5,1
2024-01-02 06:00:00,36.29,55.9637686893177,-19.673768689317704,6,1
2024-01-02 07:00:00,44.7,63.458061970165545,-18.758061970165542,7,1
2024-01-02 08:00:00,53.78,66.88166996268376,-13.101669962683758,8,1
2024-01-02 09:00:00,54.23,69.87207419793793,-15.642074197937937,9,1
2024-01-02 10:00:00,50.0,74.98320814583928,-24.983208145839285,10,1
2024-01-02 11:00:00,52.2,78.04964287792188,-25.84964287792188,11,1
2024-01-02 12:00:00,45.0,74.8408321973073,-29.840832197307293,12,1
2024-01-02 13:00:00,43.0,70.77594190340227,-27.77594190340227,13,1
2024-01-02 14:00:00,43.0,68.59334349960108,-25.593343499601076,14,1
2024-01-02 15:00:00,40.99,69.99325421283811,-29.003254212838108,15,1
2024-01-02 16:00:00,43.66,85.82069762967257,-42.16069762967257,16,1
2024-01-02 17:00:00,52.2,104.24991102373309,-52.04991102373309,17,1
2024-01-02 18:00:00,57.77,115.79258314198506,-58.02258314198506,18,1
2024-01-02 19:00:00,62.45,128.1146950701538,-65.6646950701538,19,1
2024-01-02 20:00:00,58.0,122.0478905118191,-64.0478905118191,20,1
2024-01-02 21:00:00,52.83,113.71907595521037,-60.88907595521037,21,1
2024-01-02 22:00:00,46.26,100.71919051097007,-54.45919051097007,22,1
2024-01-02 23:00:00,40.1,92.38028846115708,-52.28028846115708,23,1
2024-01-03 00:00:00,6.8,74.37342543977985,-67.57342543977985,0,1
2024-01-03 01:00:00,3.2,69.26996718154106,-66.06996718154106,1,1
2024-01-03 02:00:00,3.2,78.62784116221349,-75.42784116221348,2,1
2024-01-03 03:00:00,3.2,64.88893462085792,-61.68893462085792,3,1
2024-01-03 04:00:00,3.2,60.41343682891642,-57.213436828916414,4,1
2024-01-03 05:00:00,2.21,57.18112489626071,-54.97112489626071,5,1
2024-01-03 06:00:00,4.78,59.819406859766616,-55.039406859766615,6,1
2024-01-03 07:00:00,45.42,67.38989235702832,-21.969892357028314,7,1
2024-01-03 08:00:00,61.92,69.99256111113965,-8.072561111139649,8,1
2024-01-03 09:00:00,67.0,74.18581875418965,-7.185818754189654,9,1
2024-01-03 10:00:00,63.6,70.10851722406477,-6.508517224064768,10,1
2024-01-03 11:00:00,57.1,56.24672901686347,0.8532709831365324,11,1
2024-01-03 12:00:00,55.0,57.74781495119112,-2.747814951191117,12,1
2024-01-03 13:00:00,55.42,54.23417873799053,1.185821262009469,13,1
2024-01-03 14:00:00,61.0,51.02359265392454,9.976407346075462,14,1
2024-01-03 15:00:00,66.03,57.18992159894111,8.84007840105889,15,1
2024-01-03 16:00:00,67.52,77.74974492726324,-10.22974492726324,16,1
2024-01-03 17:00:00,89.57,101.12084918904861,-11.55084918904862,17,1
2024-01-03 18:00:00,94.2,113.76346531491134,-19.56346531491134,18,1
2024-01-03 19:00:00,104.35,127.30908362882406,-22.95908362882406,19,1
2024-01-03 20:00:00,113.26,127.33202465934045,-14.072024659340443,20,1
2024-01-03 21:00:00,113.26,121.16954643966574,-7.909546439665732,21,1
2024-01-03 22:00:00,94.2,102.24479230832782,-8.044792308327814,22,1
2024-01-03 23:00:00,86.58,93.02216854947318,-6.44216854947318,23,1
2024-01-04 00:00:00,90.39,89.07029553032658,1.3197044696734253,0,1
2024-01-04 01:00:00,87.0,77.03756185769163,9.962438142308372,1,1
2024-01-04 02:00:00,80.21,73.637197734104,6.572802265895987,2,1
2024-01-04 03:00:00,70.1,66.52531544259654,3.574684557403458,3,1
2024-01-04 04:00:00,66.86,60.75346389229793,6.10653610770207,4,1
2024-01-04 05:00:00,68.14,60.868572776325834,7.271427223674166,5,1
2024-01-04 06:00:00,86.74,72.97582580163186,13.764174198368138,6,1
2024-01-04 07:00:00,94.51,59.803982626314735,34.70601737368527,7,1
2024-01-04 08:00:00,96.0,58.27759246014921,37.72240753985079,8,1
2024-01-04 09:00:00,98.13,61.38557516596376,36.74442483403624,9,1
2024-01-04 10:00:00,95.0,59.367454833081524,35.632545166918476,10,1
2024-01-04 11:00:00,90.35,53.03903515277676,37.31096484722323,11,1
2024-01-04 12:00:00,89.0,50.21161126469838,38.78838873530162,12,1
2024-01-04 13:00:00,85.96,44.45807887649744,41.501921123502555,13,1
2024-01-04 14:00:00,92.11,39.529663769775084,52.580336230224916,14,1
2024-01-04 15:00:00,98.62,40.628811726655556,57.99118827334445,15,1
2024-01-04 16:00:00,99.5,63.3023734277358,36.1976265722642,16,1
2024-01-04 17:00:00,100.0,79.5767113292664,20.423288670733598,17,1
2024-01-04 18:00:00,102.57,92.88693154358072,9.683068456419278,18,1
2024-01-04 19:00:00,104.0,106.67086105915428,-2.6708610591542765,19,1
2024-01-04 20:00:00,105.18,97.17517977864162,8.004820221358386,20,1
2024-01-04 21:00:00,102.42,88.41757017133608,14.00242982866392,21,1
2024-01-04 22:00:00,99.41,79.8900092260319,19.51999077396809,22,1
2024-01-04 23:00:00,90.39,73.3380517061729,17.051948293827095,23,1
2024-01-05 00:00:00,86.08,49.12020630658941,36.95979369341059,0,1
2024-01-05 01:00:00,80.51,36.97111725083482,43.53888274916518,1,1
2024-01-05 02:00:00,77.01,37.20104975895015,39.80895024104986,2,1
2024-01-05 03:00:00,70.67,35.88480831439796,34.785191685602044,3,1
2024-01-05 04:00:00,61.1,32.0777714028448,29.0222285971552,4,1
2024-01-05 05:00:00,68.26,30.54538922746724,37.714610772532765,5,1
2024-01-05 06:00:00,75.0,32.78143992630248,42.21856007369752,6,1
2024-01-05 07:00:00,86.39,38.956342681042145,47.433657318957856,7,1
2024-01-05 08:00:00,90.88,44.444415771262186,46.43558422873781,8,1
2024-01-05 09:00:00,90.0,47.91411689913588,42.08588310086412,9,1
2024-01-05 10:00:00,76.47,45.11500698960765,31.35499301039235,10,1
2024-01-05 11:00:00,57.68,37.63346635910909,20.046533640890907,11,1
2024-01-05 12:00:00,45.87,34.732737105704985,11.137262894295013,12,1
2024-01-05 13:00:00,44.07,31.191976992670902,12.878023007329098,13,1
2024-01-05 14:00:00,40.0,24.811271252410222,15.188728747589778,14,1
2024-01-05 15:00:00,30.55,24.568447034086603,5.981552965913398,15,1
2024-01-05 16:00:00,44.37,47.460552983017806,-3.0905529830178082,16,1
2024-01-05 17:00:00,67.0,74.88527728266297,-7.885277282662969,17,1
2024-01-05 18:00:00,75.47,88.14765922837233,-12.677659228372335,18,1
2024-01-05 19:00:00,78.19,107.55726243139537,-29.367262431395375,19,1
2024-01-05 20:00:00,79.94,103.2141517594165,-23.274151759416497,20,1
2024-01-05 21:00:00,78.26,95.59272368574449,-17.332723685744483,21,1
2024-01-05 22:00:00,75.0,76.40219610951925,-1.4021961095192523,22,1
2024-01-05 23:00:00,68.0,70.164819469024,-2.164819469023996,23,1
2024-01-06 00:00:00,52.5,51.893786866238656,0.6062131337613437,0,1
2024-01-06 01:00:00,45.0,41.33825009377563,3.6617499062243724,1,1
2024-01-06 02:00:00,44.2,39.475056275553015,4.724943724446987,2,1
2024-01-06 03:00:00,43.5,35.348809137742194,8.151190862257806,3,1
2024-01-06 04:00:00,23.99,34.671511123851644,-10.681511123851646,4,1
2024-01-06 05:00:00,23.99,28.86514848300817,-4.8751484830081715,5,1
2024-01-06 06:00:00,30.51,37.44405125099121,-6.934051250991207,6,1
2024-01-06 07:00:00,44.4,42.12461611522809,2.2753838847719052,7,1
2024-01-06 08:00:00,45.8,46.24325067161942,-0.443250671619424,8,1
2024-01-06 09:00:00,45.0,51.13853274358462,-6.138532743584619,9,1
2024-01-06 10:00:00,25.0,52.557617744626214,-27.557617744626214,10,1
2024-01-06 11:00:00,4.0,51.20291756225657,-47.20291756225657,11,1
2024-01-06 12:00:00,3.2,54.21267089928472,-51.012670899284714,12,1
2024-01-06 13:00:00,3.2,49.632725023877015,-46.43272502387701,13,1
2024-01-06 14:00:00,3.2,49.809538847859585,-46.60953884785958,14,1
2024-01-06 15:00:00,3.2,59.473146720491854,-56.27314672049185,15,1
2024-01-06 16:00:00,25.0,73.76023641935342,-48.76023641935342,16,1
2024-01-06 17:00:00,65.0,89.21660107699722,-24.21660107699722,17,1
2024-01-06 18:00:00,85.96,100.31826749000226,-14.358267490002262,18,1
2024-01-06 19:00:00,92.05,117.71679862868774,-25.666798628687744,19,1
2024-01-06 20:00:00,92.14,112.93757229268118,-20.79757229268118,20,1
2024-01-06 21:00:00,88.0,104.86162951078057,-16.861629510780574,21,1
2024-01-06 22:00:00,86.57,86.01116220257649,0.5588377974235073,22,1
2024-01-06 23:00:00,79.87,78.8870994308748,0.9829005691252064,23,1
2024-01-07 00:00:00,84.08,66.40378232304073,17.67621767695927,0,1
2024-01-07 01:00:00,79.82,57.008629757866515,22.811370242133478,1,1
2024-01-07 02:00:00,76.76,53.81787663308427,22.942123366915737,2,1
2024-01-07 03:00:00,73.46,46.85435818452896,26.60564181547103,3,1
2024-01-07 04:00:00,71.86,51.52621114331555,20.33378885668445,4,1
2024-01-07 05:00:00,72.08,49.5421186830003,22.5378813169997,5,1
2024-01-07 06:00:00,74.9,56.12650099725738,18.773499002742625,6,1
2024-01-07 07:00:00,77.69,55.16435427416866,22.52564572583134,7,1
2024-01-07 08:00:00,81.79,58.71768714478611,23.072312855213895,8,1
2024-01-07 09:00:00,84.86,63.57961506835392,21.280384931646083,9,1
2024-01-07 10:00:00,61.0,70.804948724869,-9.804948724869007,10,1
2024-01-07 11:00:00,55.87,72.20587024907007,-16.335870249070076,11,1
2024-01-07 12:00:00,50.6,68.40055635608672,-17.800556356086723,12,1
2024-01-07 13:00:00,51.77,62.71703307734464,-10.947033077344635,13,1
2024-01-07 14:00:00,49.98,60.36462316768899,-10.384623167688993,14,1
2024-01-07 15:00:00,45.57,64.57496527810645,-19.004965278106447,15,1
2024-01-07 16:00:00,60.0,76.19508390684695,-16.195083906846946,16,1
2024-01-07 17:00:00,92.05,83.14206809853948,8.907931901460515,17,1
2024-01-07 18:00:00,104.85,88.29242297562001,16.55757702437998,18,1
2024-01-07 19:00:00,103.55,104.22474281110658,-0.674742811106583,19,1
2024-01-07 20:00:00,100.5,100.66616428563788,-0.16616428563787622,20,1
