datetime,Precio_Real,Prediccion_SARIMAX,Diferencia_SARIMAX,hour,month
2024-01-01 00:00:00,63.33,57.95697966495769,5.373020335042305,0,1
2024-01-01 01:00:00,50.09,49.213944283271125,0.876055716728878,1,1
2024-01-01 02:00:00,47.5,47.159283343636616,0.34071665636338366,2,1
2024-01-01 03:00:00,43.5,42.74088325452651,0.7591167454734915,3,1
2024-01-01 04:00:00,42.5,38.55510433418441,3.9448956658155865,4,1
2024-01-01 05:00:00,42.09,37.63658955549155,4.453410444508457,5,1
2024-01-01 06:00:00,42.5,43.5200309124797,-1.0200309124796973,6,1
2024-01-01 07:00:00,42.59,49.153403325617326,-6.5634033256173225,7,1
2024-01-01 08:00:00,43.37,52.05348741452331,-8.683487414523313,8,1
2024-01-01 09:00:00,42.29,56.28878665852825,-13.998786658528253,9,1
2024-01-01 10:00:00,25.0,56.90935445284137,-31.90935445284137,10,1
2024-01-01 11:00:00,3.9,51.197203037813246,-47.29720303781325,11,1
2024-01-01 12:00:00,3.2,50.07526003519654,-46.87526003519654,12,1
2024-01-01 13:00:00,2.06,45.16048337017176,-43.10048337017176,13,1
2024-01-01 14:00:00,1.73,44.54621292008771,-42.816212920087715,14,1
2024-01-01 15:00:00,5.72,47.19309292865962,-41.47309292865962,15,1
2024-01-01 16:00:00,18.49,60.45207972329565,-41.962079723295645,16,1
2024-01-01 17:00:00,37.0,77.45497053640321,-40.45497053640321,17,1
2024-01-01 18:00:00,47.5,88.69452521282106,-41.19452521282106,18,1
2024-01-01 19:00:00,54.97,100.64231352839934,-45.67231352839934,19,1
2024-01-01 20:00:00,60.9,97.73001195698194,-36.83001195698194,20,1
2024-01-01 21:00:00,60.0,91.62652370662079,-31.626523706620787,21,1
2024-01-01 22:00:00,47.5,76.98491761071926,-29.484917610719265,22,1
2024-01-01 23:00:00,42.09,71.11301120636384,-29.023011206363833,23,1
2024-01-02 00:00:00,37.8,55.81051417090275,-18.010514170902752,0,1
2024-01-02 01:00:00,25.0,49.27804963319543,-24.27804963319543,1,1
2024-01-02 02:00:00,3.99,47.71787195211577,-43.72787195211577,2,1
2024-01-02 03:00:00,14.0,42.147322617654005,-28.147322617654005,3,1
2024-01-02 04:00:00,10.0,36.955544106742195,-26.955544106742195,4,1
2024-01-02 05:00:00,14.54,35.24632078186179,-20.70632078186179,5,1
2024-01-02 06:00:00,36.29,41.59881021960315,-5.308810219603153,6,1
2024-01-02 07:00:00,44.7,44.381964076472634,0.3180359235273684,7,1
2024-01-02 08:00:00,53.78,46.14678801641072,7.633211983589284,8,1
