datetime,Precio_Real,Prediccion_LightGBM,Diferencia_LightGBM,Prediccion_XGBoost,Diferencia_XGBoost,Prediccion_CatBoost,Diferencia_CatBoost,hour,month
2024-01-01 00:00:00,63.33,51.328324734789895,12.001675265210103,54.21439,9.115610198974608,54.18930511834959,9.140694881650411,0,1
2024-01-01 01:00:00,50.09,39.56415610032909,10.52584389967091,41.778217,8.311782684326175,39.37568475040914,10.714315249590861,1,1
2024-01-01 02:00:00,47.5,31.292619177106822,16.207380822893178,37.92264,9.57735824584961,38.11250117893346,9.387498821066544,2,1
2024-01-01 03:00:00,43.5,30.216343671990177,13.283656328009823,36.598507,6.901493072509766,38.29278944134274,5.207210558657259,3,1
2024-01-01 04:00:00,42.5,30.47598630705537,12.024013692944632,36.435184,6.064815521240234,36.790836954508414,5.709163045491586,4,1
2024-01-01 05:00:00,42.09,31.602064375888002,10.487935624112001,36.43122,5.658778991699222,37.36347350163204,4.72652649836796,5,1
2024-01-01 06:00:00,42.5,40.880933102014616,1.619066897985384,45.03673,-2.536731719970703,36.52073419112705,5.9792658088729524,6,1
2024-01-01 07:00:00,42.59,53.976833206364226,-11.386833206364223,56.646786,-14.056785736083981,43.79305761016488,-1.2030576101648762,7,1
2024-01-01 08:00:00,43.37,61.47345989169054,-18.10345989169054,63.438725,-20.068724517822268,48.4290283138437,-5.059028313843704,8,1
2024-01-01 09:00:00,42.29,65.80269422628709,-23.51269422628709,63.561287,-21.271286926269532,50.28690596833175,-7.9969059683317525,9,1
2024-01-01 10:00:00,25.0,61.16580305807492,-36.16580305807492,58.96897,-33.968971252441406,44.47514060211975,-19.47514060211975,10,1
2024-01-01 11:00:00,3.9,56.3256417483596,-52.4256417483596,57.31734,-53.41734085083008,43.32242290432076,-39.42242290432076,11,1
2024-01-01 12:00:00,3.2,55.53795658019737,-52.337956580197364,55.452534,-52.252533721923825,44.70760183069418,-41.50760183069418,12,1
2024-01-01 13:00:00,2.06,50.658662750129686,-48.598662750129684,52.300625,-50.24062484741211,42.690173809206904,-40.6301738092069,13,1
2024-01-01 14:00:00,1.73,48.10767237840097,-46.37767237840097,49.056824,-47.32682373046875,42.90316137081471,-41.17316137081471,14,1
2024-01-01 15:00:00,5.72,44.38118658221378,-38.66118658221378,47.35846,-41.63845947265625,41.95566708953282,-36.23566708953282,15,1
2024-01-01 16:00:00,18.49,64.63591453142763,-46.145914531427636,67.57111,-49.081113586425786,55.294915216787665,-36.80491521678766,16,1
2024-01-01 17:00:00,37.0,75.25553756579129,-38.255537565791286,73.618675,-36.618675231933594,71.5336961598781,-34.533696159878104,17,1
2024-01-01 18:00:00,47.5,83.35818056449452,-35.85818056449452,82.54865,-35.04865264892578,74.56898766108037,-27.06898766108037,18,1
2024-01-01 19:00:00,54.97,94.50516181588111,-39.53516181588111,84.43838,-29.468377380371095,92.1648901799366,-37.19489017993661,19,1
2024-01-01 20:00:00,60.9,92.00498613265684,-31.10498613265684,79.013985,-18.113984680175783,87.32745880705367,-26.427458807053675,20,1
2024-01-01 21:00:00,60.0,85.1327031627523,-25.132703162752307,82.18708,-22.18708038330078,83.95770238772744,-23.957702387727437,21,1
2024-01-01 22:00:00,47.5,71.63885586180484,-24.138855861804842,80.62892,-33.12892150878906,74.31484847451772,-26.814848474517717,22,1
2024-01-01 23:00:00,42.09,68.58526346748681,-26.495263467486808,74.36629,-32.27628723144531,71.40104739680477,-29.311047396804767,23,1
2024-01-02 00:00:00,37.8,72.02078468419516,-34.220784684195166,65.68924,-27.889239501953128,61.49257332973546,-23.69257332973546,0,1
2024-01-02 01:00:00,25.0,66.82701731680794,-41.82701731680794,62.47023,-37.47023010253906,46.65869851755212,-21.658698517552118,1,1
2024-01-02 02:00:00,3.99,60.746793562207216,-56.756793562207214,59.089783,-55.09978271484375,46.274649752933946,-42.284649752933944,2,1
2024-01-02 03:00:00,14.0,59.56510706617989,-45.56510706617989,59.127026,-45.12702560424805,49.69522776815732,-35.69522776815732,3,1
2024-01-02 04:00:00,10.0,63.8150559592859,-53.8150559592859,59.401897,-49.40189743041992,49.51235592580213,-39.51235592580213,4,1
2024-01-02 05:00:00,14.54,63.44539745108149,-48.90539745108149,58.763172,-44.223172149658204,49.95591035573735,-35.41591035573735,5,1
2024-01-02 06:00:00,36.29,67.8265355697313,-31.536535569731306,62.537445,-26.247445068359376,50.52801814885791,-14.238018148857911,6,1
2024-01-02 07:00:00,44.7,73.88949467302915,-29.189494673029145,67.93194,-23.231938171386716,55.51723778355249,-10.817237783552486,7,1
2024-01-02 08:00:00,53.78,78.25149328749777,-24.471493287497765,68.79298,-15.01297637939453,57.524906382339296,-3.7449063823392947,8,1
2024-01-02 09:00:00,54.23,79.20142721665844,-24.971427216658448,68.67892,-14.448916931152347,58.954047669081774,-4.724047669081777,9,1
2024-01-02 10:00:00,50.0,64.80832668292892,-14.808326682928922,55.7159,-5.715900421142578,48.197287305633914,1.802712694366086,10,1
2024-01-02 11:00:00,52.2,54.77164301792813,-2.5716430179281247,47.323368,4.876631927490237,45.16960073897958,7.0303992610204205,11,1
