Modelo,MAE (€/MWh),RMSE (€/MWh),R²,MAPE (%),wAPE (%),sMAPE (%),MedAE (€/MWh),Moda Error (€/MWh)
LightGBM,18.687,24.404,0.718,6.273152980818614e+17,29.64,58.61,14.637,7
XGBoost,18.275,23.983,0.727,5.830630011148038e+17,28.98,58.41,14.394,1
CatBoost,18.857,24.683,0.711,6.67608371203491e+17,29.91,58.88,15.406,2
