datetime,Precio_Real,Prediccion_LightGBM,Diferencia_LightGBM,Prediccion_XGBoost,Diferencia_XGBoost,Prediccion_CatBoost,Diferencia_CatBoost,hour,month
2024-01-01 00:00:00,63.33,65.38801040020005,-2.0580104002000468,60.536285,2.7937145996093733,46.5218687093058,16.8081312906942,0,1
2024-01-01 01:00:00,50.09,63.36990024087368,-13.27990024087368,52.90333,-2.8133317565917935,42.61407153791773,7.475928462082273,1,1
2024-01-01 02:00:00,47.5,52.900805082159174,-5.400805082159174,47.73726,-0.2372589111328125,36.19200317350028,11.307996826499718,2,1
2024-01-01 03:00:00,43.5,54.210494827674104,-10.710494827674104,45.155285,-1.6552848815917969,37.43299961282313,6.0670003871768685,3,1
2024-01-01 04:00:00,42.5,51.81465801127042,-9.314658011270417,37.160454,5.339546203613281,34.44213885400313,8.057861145996867,4,1
2024-01-01 05:00:00,42.09,51.81655071494995,-9.726550714949944,38.863716,3.226283874511722,32.924434599810766,9.165565400189237,5,1
2024-01-01 06:00:00,42.5,57.79208369682585,-15.292083696825848,47.345554,-4.845554351806641,34.216421929308254,8.283578070691746,6,1
2024-01-01 07:00:00,42.59,60.114714343059674,-17.52471434305967,53.818314,-11.228313598632809,37.537774101624194,5.052225898375809,7,1
2024-01-01 08:00:00,43.37,69.11277243533777,-25.742772435337777,66.7744,-23.40439880371094,49.141431973770004,-5.771431973770007,8,1
2024-01-01 09:00:00,42.29,64.61489514997193,-22.32489514997193,56.259888,-13.9698876953125,42.82413914590513,-0.5341391459051295,9,1
2024-01-01 10:00:00,25.0,61.301936880821216,-36.301936880821216,54.970474,-29.970474243164062,38.07912661678596,-13.079126616785963,10,1
2024-01-01 11:00:00,3.9,60.0190277549753,-56.1190277549753,52.037033,-48.13703308105469,37.732029181501964,-33.832029181501966,11,1
2024-01-01 12:00:00,3.2,57.083686929033455,-53.88368692903345,49.910664,-46.710663604736325,36.17460023311064,-32.974600233110635,12,1
2024-01-01 13:00:00,2.06,54.56966709286155,-52.50966709286155,47.911076,-45.85107559204101,36.0084783307409,-33.9484783307409,13,1
2024-01-01 14:00:00,1.73,51.075061780297105,-49.34506178029711,44.20446,-42.47446014404297,34.89490010566459,-33.16490010566459,14,1
2024-01-01 15:00:00,5.72,49.799614194453994,-44.079614194453995,43.555058,-37.83505752563477,36.81835710643351,-31.09835710643351,15,1
2024-01-01 16:00:00,18.49,66.48235024954245,-47.992350249542454,56.84563,-38.35563064575196,45.517967433231455,-27.027967433231456,16,1
2024-01-01 17:00:00,37.0,81.67711966713418,-44.67711966713418,82.58731,-45.587310791015625,74.62757526392782,-37.627575263927824,17,1
2024-01-01 18:00:00,47.5,89.80848060069611,-42.308480600696114,91.11694,-43.616943359375,85.31433724080321,-37.81433724080321,18,1
2024-01-01 19:00:00,54.97,98.31786794344717,-43.34786794344717,99.39034,-44.420342712402345,101.20145395792771,-46.23145395792771,19,1
2024-01-01 20:00:00,60.9,95.63658778880553,-34.73658778880553,96.11846,-35.21846160888672,96.24316167254979,-35.34316167254979,20,1
2024-01-01 21:00:00,60.0,91.23620544020962,-31.236205440209616,94.50278,-34.502777099609375,93.42631757159742,-33.42631757159742,21,1
2024-01-01 22:00:00,47.5,88.06717270815386,-40.56717270815386,88.154205,-40.654205322265625,85.19082480046596,-37.69082480046596,22,1
2024-01-01 23:00:00,42.09,85.04345009238767,-42.95345009238767,83.12089,-41.03088775634765,80.24543483136748,-38.15543483136747,23,1
2024-01-02 00:00:00,37.8,82.33234418800161,-44.532344188001616,69.752556,-31.95255584716797,68.7379826002138,-30.9379826002138,0,1
2024-01-02 01:00:00,25.0,74.11259169477704,-49.11259169477704,63.829178,-38.82917785644531,55.99972751311936,-30.99972751311936,1,1
2024-01-02 02:00:00,3.99,73.28327221340236,-69.29327221340236,62.349953,-58.359952697753904,55.21700555833315,-51.22700555833315,2,1
2024-01-02 03:00:00,14.0,71.94812983597477,-57.94812983597477,61.810432,-47.81043243408203,57.37121240788841,-43.37121240788841,3,1
2024-01-02 04:00:00,10.0,71.54467138700382,-61.54467138700382,63.06409,-53.064090728759766,55.69304557139458,-45.69304557139458,4,1
2024-01-02 05:00:00,14.54,72.57365060985174,-58.03365060985174,61.81933,-47.27932830810547,56.64686152093304,-42.10686152093304,5,1
2024-01-02 06:00:00,36.29,77.10175247107735,-40.81175247107735,65.4572,-29.16719909667969,58.938121967735775,-22.648121967735776,6,1
2024-01-02 07:00:00,44.7,81.47949426185724,-36.77949426185724,70.434494,-25.734494018554685,59.910261536450996,-15.210261536450993,7,1
2024-01-02 08:00:00,53.78,87.38342838727507,-33.60342838727507,79.27042,-25.490416259765624,65.03437262427954,-11.25437262427954,8,1
2024-01-02 09:00:00,54.23,88.77417707906038,-34.54417707906038,78.09582,-23.865817565917972,65.85019962585491,-11.620199625854916,9,1
2024-01-02 10:00:00,50.0,77.54393323829548,-27.54393323829548,72.33318,-22.33318328857422,59.75258860378106,-9.752588603781057,10,1
2024-01-02 11:00:00,52.2,64.48584013736277,-12.285840137362769,65.325,-13.124996948242185,57.688162748906784,-5.488162748906781,11,1
2024-01-02 12:00:00,45.0,64.1617900534946,-19.1617900534946,60.616318,-15.616317749023438,54.223877476199576,-9.223877476199576,12,1
2024-01-02 13:00:00,43.0,57.736149507381775,-14.736149507381775,57.362255,-14.362255096435547,52.296953360893184,-9.296953360893184,13,1
2024-01-02 14:00:00,43.0,56.679690054580824,-13.679690054580824,49.902035,-6.902034759521484,49.91901900759466,-6.919019007594663,14,1
2024-01-02 15:00:00,40.99,57.94764911473761,-16.957649114737606,51.60849,-10.618489990234373,49.369581312493054,-8.379581312493052,15,1
2024-01-02 16:00:00,43.66,70.55190180049121,-26.891901800491212,64.28862,-20.62861999511719,58.84080429402923,-15.180804294029237,16,1
2024-01-02 17:00:00,52.2,84.02515266090815,-31.825152660908145,74.835785,-22.635784912109372,68.58255796428745,-16.382557964287443,17,1
2024-01-02 18:00:00,57.77,84.12512212063311,-26.355122120633105,80.08116,-22.311161499023434,68.78073181479533,-11.010731814795328,18,1
2024-01-02 19:00:00,62.45,84.98856647627623,-22.53856647627623,82.64909,-20.199093627929685,78.1950773100705,-15.7450773100705,19,1
2024-01-02 20:00:00,58.0,92.82737940269152,-34.82737940269152,86.665855,-28.665855407714844,91.23897717051709,-33.23897717051709,20,1
2024-01-02 21:00:00,52.83,83.49485179067094,-30.664851790670937,80.81539,-27.985391540527345,78.78056627258715,-25.950566272587153,21,1
