Modelo,MAE (€/MWh),RMSE (€/MWh),R²,MAPE (%),wAPE (%),sMAPE (%),MedAE (€/MWh),Moda Error (€/MWh)
LightGBM,20.044,24.799,0.708,6.704143572412849e+17,31.79,60.27,17.454,11
XGBoost,19.702,24.525,0.715,6.409704547442515e+17,31.25,60.03,17.019,11
CatBoost,18.777,24.355,0.719,6.136164920474193e+17,29.78,59.15,15.28,2
