iter	RMSE
0	72.14313322
1	71.00870046
2	69.89488048
3	68.79221501
4	67.72826934
5	66.66048407
6	65.6465679
7	64.6546212
8	63.6696115
9	62.71105391
10	61.77247206
11	60.84445945
12	60.00085711
13	59.10413056
14	58.23506143
15	57.4115837
16	56.58623883
17	55.78324331
18	55.02682821
19	54.27002837
20	53.54299946
21	52.82058278
22	52.11696646
23	51.41995691
24	50.74872017
25	50.06507425
26	49.39888873
27	48.78646764
28	48.17472226
29	47.58521766
30	46.97002358
31	46.3942257
32	45.83664073
33	45.27568421
34	44.73697694
35	44.21773229
36	43.68541373
37	43.18406106
38	42.70150143
39	42.22204126
40	41.75113603
41	41.30056985
42	40.87043008
43	40.43530315
44	40.00866905
45	39.57838156
46	39.16862179
47	38.7801236
48	38.38663008
49	38.0007361
50	37.62534938
51	37.26993436
52	36.90279898
53	36.54939755
54	36.21006657
55	35.88422541
56	35.57611364
57	35.2737952
58	34.96970274
59	34.68904885
60	34.40835328
61	34.13783753
62	33.86897439
63	33.60270611
64	33.34796737
65	33.09052452
66	32.85479332
67	32.61440694
68	32.39842198
69	32.17887068
70	31.96246314
71	31.74725653
72	31.53392382
73	31.32382183
74	31.12997714
75	30.9344598
76	30.7481486
77	30.56385243
78	30.39670022
79	30.22954457
80	30.06656794
81	29.90566858
82	29.74433596
83	29.58164697
84	29.42908353
85	29.27484631
86	29.13912865
87	28.99463675
88	28.85128522
89	28.72154747
90	28.59915465
91	28.4743583
92	28.36426158
93	28.24380343
94	28.127129
95	28.00947054
96	27.89094506
97	27.78324724
98	27.67444428
99	27.57043489
100	27.46998907
101	27.38384876
102	27.28867155
103	27.20301994
104	27.11390493
105	27.02543375
106	26.94852466
107	26.87133828
108	26.78760847
109	26.70562342
110	26.63071352
111	26.55641483
112	26.48122942
113	26.41113301
114	26.34060824
115	26.27176084
116	26.20690021
117	26.14079052
118	26.08699616
119	26.02216445
120	25.96322534
121	25.90005038
122	25.84261677
123	25.78505661
124	25.72622775
125	25.67424631
126	25.61832833
127	25.56551567
128	25.51304893
129	25.45896296
130	25.40964622
131	25.36743893
132	25.31743813
133	25.26882311
134	25.2247117
135	25.18227202
136	25.1408102
137	25.09742698
138	25.05538786
139	25.01822917
140	24.97926397
141	24.93960448
142	24.89260228
143	24.85615744
144	24.82633561
145	24.78874618
146	24.75716752
147	24.72629159
148	24.68927339
149	24.65359183
150	24.62187896
151	24.59065367
152	24.55975818
153	24.53139767
154	24.4940254
155	24.46047768
156	24.42977006
157	24.40336841
158	24.37462915
159	24.34329116
160	24.31706832
161	24.28592032
162	24.25744639
163	24.2241096
164	24.19834205
165	24.17308809
166	24.14725637
167	24.12162169
168	24.0969308
169	24.0721734
170	24.0477362
171	24.01937966
172	23.99304646
173	23.9673837
174	23.94372895
175	23.92371484
176	23.9007837
177	23.88173208
178	23.85840689
179	23.83581688
180	23.81089503
181	23.79018801
182	23.76998448
183	23.74999246
184	23.72703094
185	23.70445066
186	23.68067732
187	23.66511695
188	23.64710975
189	23.62458698
190	23.60094952
191	23.58047761
192	23.56478533
193	23.5446155
194	23.5243279
195	23.50918969
196	23.48427837
197	23.46536445
198	23.45028594
199	23.42968819
200	23.41224413
201	23.39526178
202	23.37497314
203	23.35574469
204	23.33570561
205	23.31938474
206	23.30228159
207	23.28365469
208	23.26928166
209	23.25186226
210	23.23189297
211	23.217417
212	23.19955457
213	23.18456869
214	23.16638146
215	23.14452552
216	23.13061637
217	23.115342
218	23.0997025
219	23.08141764
220	23.06981282
221	23.05509614
222	23.04219304
223	23.02268163
224	23.0096692
225	22.99286498
226	22.97011301
227	22.95097635
228	22.9411513
229	22.92953059
230	22.91575944
231	22.9025485
232	22.89280989
233	22.87820956
234	22.86519416
235	22.8528184
236	22.84128942
237	22.83089804
238	22.82120883
239	22.80722125
240	22.79310889
241	22.78438321
242	22.77406277
243	22.76486624
244	22.74777214
245	22.73637403
246	22.71898853
247	22.70681046
248	22.68687514
249	22.67253378
250	22.65941399
251	22.64308033
252	22.63234108
253	22.62024423
254	22.60933644
255	22.59895217
256	22.5852738
257	22.56423709
258	22.54808702
259	22.53423279
260	22.52110868
261	22.50866172
262	22.49881357
263	22.48492139
264	22.46912146
265	22.45465963
266	22.44402763
267	22.43062059
268	22.41739985
269	22.40678985
270	22.39340415
271	22.38056576
272	22.36733703
