iter	Passed	Remaining
0	83	166074
1	169	169289
2	264	175860
3	370	184644
4	443	177039
5	525	174489
6	619	176433
7	709	176732
8	793	175439
9	871	173363
10	972	175912
11	1125	186450
12	1328	203052
13	1427	202497
14	1523	201586
15	1621	201048
16	1710	199477
17	1808	199163
18	1909	199116
19	2007	198696
20	2091	197068
21	2179	196000
22	2305	198186
23	2506	206333
24	2603	205703
25	2692	204423
26	2792	204066
27	2893	203795
28	2993	203466
29	3080	202253
30	3172	201516
31	3275	201444
32	3360	200306
33	3451	199565
34	3536	198534
35	3608	196878
36	3708	196746
37	3800	196205
38	3891	195648
39	3969	194510
40	4050	193521
41	4144	193230
42	4237	192842
43	4352	193485
44	4469	194178
45	4552	193390
46	4649	193206
47	4740	192771
48	4832	192403
49	4925	192102
50	5016	191715
51	5117	191713
52	5198	190968
53	5283	190400
54	5372	189988
55	5460	189558
56	5538	188778
57	5631	188552
58	5728	188446
59	5814	187991
60	5901	187599
61	5994	187361
62	6085	187115
63	6161	186380
64	6240	185763
65	6323	185286
66	6415	185102
67	6503	184764
68	6585	184286
69	6659	183607
70	6739	183105
71	6828	182843
72	6902	182213
73	6988	181900
74	7081	181758
75	7162	181328
76	7252	181113
77	7331	180664
78	7436	180823
79	7532	180787
80	7615	180418
81	7694	179972
82	7771	179497
83	7863	179353
84	7947	179042
85	8036	178849
86	8116	178466
87	8203	178244
88	8305	178327
89	8402	178321
90	8498	178278
91	8585	178045
92	8679	177976
93	8773	177887
94	8853	177535
95	8939	177292
96	9021	176992
97	9114	176893
98	9219	177030
99	9300	176714
100	9386	176477
101	9472	176263
102	9565	176170
103	9645	175839
104	9733	175662
105	9813	175355
106	10001	176939
107	10098	176908
108	10171	176457
109	10266	176403
110	10345	176061
111	10437	175946
112	10527	175807
113	10610	175545
114	10702	175435
115	10798	175375
116	10885	175193
117	10979	175118
118	11054	174741
119	11135	174458
120	11229	174382
121	11305	174031
122	11399	173956
123	11510	174137
124	11615	174234
125	11710	174177
126	11802	174064
127	11911	174200
128	12003	174100
129	12108	174180
130	12217	174312
131	12316	174304
132	12401	174093
133	12496	174024
134	12587	173890
135	12681	173816
136	12777	173762
137	12864	173573
138	12948	173358
139	13032	173145
140	13136	173190
141	13237	173206
142	13333	173145
143	13425	173038
144	13504	172768
145	13595	172646
146	13680	172448
147	13760	172193
148	13845	171999
149	13934	171862
150	14072	172315
151	14167	172245
152	14260	172147
153	14339	171890
154	14441	171897
155	14558	172092
156	14711	172695
157	14794	172475
158	14885	172348
159	14980	172276
160	15072	172160
161	15149	171885
162	15245	171818
163	15338	171719
164	15411	171395
165	15491	171154
166	15566	170859
167	15656	170733
168	15740	170541
169	15829	170404
170	15912	170196
171	16025	170316
172	16105	170088
173	16205	170064
174	16298	169971
175	16374	169698
176	16448	169409
177	16540	169305
178	16620	169083
179	16705	168911
180	16812	168957
181	16908	168897
182	17011	168906
183	17106	168838
184	17188	168629
185	17275	168478
186	17372	168427
187	17452	168209
188	17526	167940
189	17627	167920
190	17713	167766
191	17806	167682
192	17881	167416
193	18093	168436
194	18167	168168
195	18259	168063
196	18353	167977
197	18452	167940
198	18573	168093
199	18718	168470
200	18811	168365
201	18909	168313
202	18997	168166
203	19087	168046
204	19180	167942
205	19275	167867
206	19373	167812
207	19456	167625
208	19554	167573
209	19627	167301
210	19713	167145
211	19795	166953
212	19893	166899
213	19976	166717
214	20071	166638
215	20159	166500
216	20288	166705
217	20378	166581
218	20494	166668
219	20602	166696
220	20697	166611
221	20797	166566
222	20892	166485
223	20992	166444
224	21078	166286
225	21251	166815
226	21376	166966
227	21477	166922
228	21563	166767
229	21657	166666
230	21738	166473
231	21812	166222
232	21914	166190
233	22007	166089
234	22086	165882
235	22182	165802
236	22284	165772
237	22366	165586
238	22457	165470
239	22549	165359
240	22623	165126
241	22701	164915
242	22789	164780
243	22875	164629
244	22952	164413
245	23054	164378
246	23141	164240
247	23233	164135
248	23327	164042
249	23417	163923
250	23513	163845
251	23603	163726
252	23693	163607
253	23777	163444
254	23886	163460
255	23982	163380
256	24072	163261
257	24169	163189
258	24260	163077
259	24358	163014
260	24442	162857
261	24522	162670
262	24616	162578
263	24708	162474
264	24821	162512
265	24903	162339
266	24977	162117
267	25080	162085
268	25171	161977
269	25265	161883
270	25338	161663
271	25417	161476
272	25602	161960
273	25688	161821
274	25755	161558
275	25841	161414
276	25931	161299
277	26010	161115
278	26105	161030
279	26187	160868
280	26268	160695
281	26343	160492
282	26430	160355
283	26503	160139
284	26602	160082
285	26693	159973
286	26783	159862
287	26872	159740
288	26970	159674
289	27067	159605
290	27148	159436
291	27226	159254
292	27311	159116
293	27395	158967
294	27472	158781
295	27557	158643
296	27653	158564
297	27753	158513
298	27846	158419
299	27933	158290
300	28019	158156
301	28101	158003
302	28181	157836
303	28266	157699
304	28348	157544
305	28434	157409
306	28522	157291
307	28710	157719
308	28816	157698
309	28926	157695
310	29019	157602
311	29115	157521
312	29221	157495
313	29328	157476
314	29410	157321
315	29502	157221
316	29580	157047
317	29671	156943
318	29768	156867
319	29850	156715
320	29938	156594
321	30009	156384
322	30094	156247
323	30167	156052
324	30250	155906
325	30338	155785
326	30435	155714
327	30524	155598
328	30600	155418
329	30687	155299
330	30795	155280
331	30886	155177
332	30982	155097
333	31087	155066
334	31184	154992
335	31280	154912
336	31387	154888
337	31502	154902
338	31608	154873
339	31701	154778
340	31797	154700
341	31896	154631
342	31993	154556
343	32100	154532
344	32199	154462
345	32303	154422
346	32392	154309
347	32482	154197
348	32585	154148
349	32723	154268
350	32812	154152
351	32895	154010
352	32997	153956
353	33091	153864
354	33286	154245
355	33377	154137
356	33467	154025
357	33567	153958
358	33660	153861
359	33755	153777
360	33849	153684
361	33950	153619
362	34030	153465
363	34133	153413
364	34218	153279
365	34312	153189
366	34401	153070
367	34484	152931
368	34577	152836
369	34666	152718
370	34765	152649
371	34846	152498
372	34931	152366
373	35032	152306
374	35141	152279
375	35233	152176
376	35339	152137
377	35439	152070
378	35552	152058
379	35652	151992
380	35738	151863
381	35828	151755
382	35917	151640
383	36025	151605
384	36125	151537
385	36206	151391
386	36297	151286
387	36385	151169
388	36481	151085
389	36564	150944
390	36659	150856
391	36737	150697
392	36823	150573
393	36914	150467
394	37022	150431
395	37150	150476
396	37256	150434
397	37350	150341
398	37462	150318
399	37566	150265
400	37661	150177
401	37761	150108
402	37849	149988
403	37945	149903
404	38032	149781
405	38140	149744
406	38248	149704
407	38344	149617
408	38481	149693
409	38646	149871
410	38732	149747
411	38828	149658
412	38923	149567
413	39130	149904
414	39213	149767
415	39313	149694
416	39397	149560
417	39495	149479
418	39600	149424
419	39695	149332
420	39800	149276
421	39910	149238
422	39996	149112
423	40094	149031
424	40203	148989
425	40308	148934
426	40414	148879
427	40493	148728
428	40599	148675
429	40697	148593
430	40793	148504
431	40882	148388
432	40977	148295
433	41069	148191
434	41144	148024
435	41225	147881
436	41311	147755
