iter	Passed	Remaining
400	23370	93190
401	23420	93100
402	23474	93023
403	23523	92930
404	23581	92868
405	23632	92782
406	23681	92690
407	23736	92619
408	23800	92584
409	23845	92475
410	23892	92374
411	23943	92286
412	23997	92214
413	24055	92153
414	24110	92083
415	24178	92065
416	24229	91978
417	24286	91917
418	24340	91842
419	24396	91776
420	24458	91733
421	24580	91913
422	24661	91941
423	24717	91874
424	24792	91876
425	24862	91862
426	24928	91831
427	24997	91814
428	25083	91854
429	25344	92535
430	25426	92561
431	25510	92592
432	25610	92684
433	25682	92669
434	25768	92707
435	25836	92679
436	25909	92668
437	25983	92663
438	26062	92674
439	26132	92650
440	26189	92582
441	26244	92507
442	26300	92437
443	26353	92356
444	26409	92284
445	26462	92204
446	26521	92141
447	26585	92100
448	26646	92044
449	26717	92028
450	26785	91998
451	26845	91939
452	26899	91861
453	26960	91806
454	27013	91727
455	27070	91659
456	27133	91612
457	27202	91585
458	27261	91526
459	27315	91447
460	27373	91382
461	27425	91298
462	27483	91235
463	27537	91157
464	27635	91226
465	27716	91237
466	27833	91367
467	27902	91339
468	27960	91274
469	28047	91303
470	28161	91419
471	28226	91377
472	28283	91308
473	28345	91254
474	28397	91171
475	28447	91078
476	28501	91000
477	28555	90922
478	28614	90861
479	28671	90793
480	28725	90716
481	28779	90636
482	28829	90548
483	28881	90464
484	28933	90380
485	28986	90300
486	29035	90207
487	29086	90120
488	29143	90052
489	29198	89980
490	29254	89907
491	29305	89822
492	29353	89726
493	29407	89650
494	29456	89559
495	29505	89468
496	29562	89401
497	29616	89325
498	29681	89283
499	29734	89202
500	29793	89143
501	29865	89119
502	29916	89034
503	29978	88984
504	30024	88885
505	30077	88804
506	30134	88739
507	30185	88654
508	30239	88579
509	30293	88505
510	30345	88424
511	30401	88354
512	30456	88281
513	30506	88194
514	30556	88109
515	30608	88029
516	30666	87966
517	30717	87883
518	30775	87820
519	30834	87760
520	30891	87692
521	30944	87615
522	31000	87548
523	31055	87475
524	31111	87409
525	31166	87338
526	31218	87256
527	31274	87189
528	31327	87112
529	31380	87037
530	31434	86963
531	31487	86885
532	31545	86823
533	31598	86749
534	31661	86698
535	31712	86618
536	31770	86555
537	31822	86477
538	31870	86387
539	31930	86330
540	31982	86251
541	32027	86154
542	32080	86080
543	32148	86044
544	32202	85971
545	32255	85897
546	32311	85828
547	32369	85768
548	32423	85694
549	32477	85622
550	32546	85590
551	32600	85516
552	32657	85453
553	32710	85378
554	32764	85306
555	32819	85235
556	32880	85181
557	32935	85112
558	32989	85040
559	33045	84973
560	33090	84878
561	33145	84810
562	33188	84710
563	33240	84633
564	33286	84541
565	33341	84472
566	33386	84379
567	33440	84308
568	33496	84241
569	33549	84167
570	33606	84103
571	33664	84042
572	33719	83974
573	33774	83906
574	33824	83826
575	33876	83749
576	33929	83677
577	33986	83613
578	34034	83529
579	34086	83454
580	34171	83457
581	34268	83492
582	34325	83428
583	34375	83347
584	34431	83281
585	34487	83216
586	34540	83143
587	34591	83067
588	34650	83007
589	34701	82931
590	34750	82849
591	34806	82782
592	34857	82704
593	34905	82622
594	34962	82557
595	35020	82498
596	35076	82431
597	35132	82367
598	35184	82292
599	35240	82228
600	35292	82153
601	35349	82091
602	35414	82046
603	35487	82021
604	35549	81968
605	35601	81894
606	35660	81837
607	35714	81766
608	35771	81705
609	35824	81631
610	35877	81560
611	35931	81492
612	35989	81430
613	36036	81346
614	36091	81278
615	36143	81205
616	36202	81147
617	36258	81081
618	36314	81017
619	36370	80952
620	36428	80892
621	36487	80835
622	36537	80757
623	36587	80681
624	36643	80615
625	36699	80551
626	36750	80477
627	36802	80403
628	36858	80337
629	36913	80271
630	36963	80194
631	37016	80124
632	37072	80059
633	37120	79979
634	37173	79908
635	37227	79841
636	37278	79765
637	37340	79713
638	37393	79643
639	37444	79570
640	37503	79511
641	37556	79442
642	37608	79369
643	37667	79311
644	37726	79254
645	37779	79184
646	37833	79117
647	37890	79054
648	37941	78982
649	37995	78912
650	38045	78837
651	38089	78749
652	38141	78677
653	38191	78601
654	38240	78524
655	38292	78452
656	38346	78385
657	38403	78324
658	38455	78253
659	38507	78181
660	38554	78100
661	38611	78039
662	38664	77969
663	38717	77901
664	38773	77838
665	38881	77878
666	38936	77813
667	38992	77750
668	39043	77677
669	39103	77623
670	39156	77553
671	39213	77493
672	39266	77425
673	39320	77358
674	39374	77289
675	39435	77236
676	39494	77181
677	39546	77110
678	39597	77037
679	39657	76981
680	39711	76915
681	39762	76843
682	39819	76781
683	39863	76696
684	39907	76611
685	39977	76575
686	40094	76628
687	40146	76558
688	40191	76475
689	40249	76414
690	40302	76347
691	40353	76274
692	40423	76239
693	40478	76173
694	40532	76107
695	40580	76029
696	40630	75955
697	40686	75893
698	40737	75822
699	40795	75763
700	40862	75720
701	40923	75667
702	40977	75600
703	41029	75530
704	41082	75464
705	41140	75404
706	41193	75336
707	41254	75284
708	41310	75220
709	41363	75152
710	41407	75069
711	41462	75005
712	41515	74937
713	41566	74865
714	41616	74792
715	41674	74734
716	41725	74662
717	41777	74594
718	41826	74520
719	41893	74477
720	41947	74411
721	41997	74339
722	42046	74264
723	42095	74189
724	42144	74117
725	42198	74050
726	42249	73980
727	42299	73907
728	42348	73833
729	42400	73765
730	42449	73691
731	42509	73636
732	42564	73572
733	42618	73507
